from,to,weight
22,ประตู2205 1,0.0
22,23,1.621111
22,ประตู 2205 2,1.621111
23,ประตู 2205 2,0.0
23,ประตู2205 1,1.621111
24,2203,0.0
24,25,1.56
24,2204,1.56
25,2204,0.0
25,2203,1.56
26,main,0.0
26,36,3.451724
26,Door N037,3.451724
27,lab2,0.0
27,31,1.442221
27,lab5,1.442221
28,lab1,0.0
28,27,2.48129
28,lab2,2.48129
29,lab3,0.0
29,30,1.38
29,lab4,1.38
30,lab4,0.0
30,lab3,1.38
31,lab5,0.0
31,lab2,1.442221
32,lab6,0.0
32,31,2.45308
32,lab5,2.45308
33,Door N034,0.0
33,44,2.953574
33,Door N045,2.953574
34,Door N035,0.0
34,38,1.404279
34,Door N039,1.404279
35,Door N036,0.0
36,Door N037,0.0
36,37,2.240803
36,Door N038,2.240803
37,Door N038,0.0
37,Door N037,2.240803
38,Door N039,0.0
38,Door N035,1.404279
39,Door N040,0.0
39,46,4.642155
39,Door N047,4.642155
40,Door N041,0.0
40,41,2.743574
40,Door N042,2.743574
41,Door N042,0.0
41,42,0.68
41,Door N043,0.68
42,Door N043,0.0
42,Door N042,0.68
43,Door N044,0.0
43,42,2.082402
43,Door N043,2.082402
44,Door N045,0.0
44,45,1.471462
44,Door N046,1.471462
45,Door N046,0.0
45,Door N045,1.471462
46,Door N047,0.0
46,Door N040,4.642155
2203,2204,1.56
ประตู2205 1,ประตู 2205 2,1.621111
main,36,3.451724
main,Door N037,3.451724
lab2,lab5,1.442221
lab1,27,2.48129
lab1,lab2,2.48129
lab3,lab4,1.38
lab6,31,2.45308
lab6,lab5,2.45308
Door N034,44,2.953574
Door N034,Door N045,2.953574
Door N035,Door N039,1.404279
Door N037,Door N038,2.240803
Door N040,Door N047,4.642155
Door N041,41,2.743574
Door N041,Door N042,2.743574
Door N042,Door N043,0.68
Door N044,42,2.082402
Door N044,Door N043,2.082402
Door N045,Door N046,1.471462
