id,x,y,name,type,floor
N064,2373.0,1161.0,ห้องปฏิบัติการทางสิ่งแวดล้อม,room,4
N065,2307.0,1068.0,ห้องAnimal Lab,room,4
N066,2307.0,993.0,ห้องเก็บสารเคมี,room,4
N067,2323.0,911.0,ห้องปฏิบัติการกลาง 2409,room,4
N068,2373.0,818.0,ห้องปฏิบัติการPollen 2408,room,4
N069,2382.0,680.0,ห้องปฏิบัติการPollen 2407,room,4
N070,1998.0,946.0,ห้องปฏิบัติการเทคโนโลยีชีวภาพ 2405,room,4
N071,2073.0,1055.0,ห้องเตรียมปฏิบัติการ 2405,room,4
N072,2004.0,730.0,ห้องปฏิบัติการสัตววิทยา 2406,room,4
N073,1751.0,793.0,ห้องปฏิบัติการชีววิทยา 2404,room,4
N074,1701.0,1074.0,ห้องพักอาจารย์ 2404,room,4
N075,1497.0,968.0,ห้องสัมนา 2402,room,4
N076,1497.0,730.0,ห้อง Posthavest 2403,room,4
N077,1444.0,605.0,ห้องเตรียมปฏิบัติการ 2403,room,4
N078,2063.0,602.0,ห้องอณูชีววิทยา 2406,room,4
N079,1929.0,1255.0,ห้องน้ำหญิง,room,4
N080,1579.0,1258.0,ห้องน้ำชาย,room,4
N081,1441.0,1261.0,ลิฟท์ ชั้น4,elevator,4
N082,1197.0,1055.0,ห้องสำนักงาน 2401,room,4
N083,1060.0,1505.0,โซนเตรียมอาหาร,room,4
N084,1210.0,1496.0,ห้องถ่ายเนื้อเยื้อ,room,4
N085,1166.0,1324.0,ห้องสำนักงานเพาะเลี้ยงเนื้อเยื้อ,room,4
N086,1035.0,1380.0,ห้องเตรียมปฏิบัติการ,room,4
N087,1038.0,1652.0,ห้องเก็บของ,room,4
N088,1204.0,1733.0,ห้องเก็บของ,room,4
N089,1510.0,1336.0,ห้องปฏิบัติการสิ่งแวดล้อมและจุลชีววิทยา,room,4
N090,1460.0,1471.0,ห้องประชุมสาขาวิชา,room,4
N091,1444.0,1521.0,ห้องคอมพิวเตอร์,room,4
N092,1588.0,1505.0,ห้องบรรยาย ป.โท,room,4
